level1,level2,level3,level4
primary aroma,spice,5-spice,5 spice
primary aroma,spice,5-spice,5spice
primary aroma,spice,5-spice,5-spice
primary aroma,spice,5-spice,asian five spice
primary aroma,spice,5-spice,asian spice
primary aroma,spice,5-spice,asian spices
primary aroma,spice,5-spice,chinese five spice
primary aroma,spice,5-spice,chinese spices
primary aroma,spice,5-spice,five spice
primary aroma,spice,5-spice,fivespice
primary aroma,spice,5-spice,fivespices
primary aroma,spice,5-spice,five spice powder
primary aroma,flower,acacia,acacia
primary aroma,flower,acacia,acacia flower
primary aroma,flower,acacia,acacia flowers
primary aroma,flower,acacia,acacia honey
,,acetone,acetone
tertiary,oak aging,allspice,all spice
tertiary,oak aging,allspice,allspice
primary aroma,vegetable,almond,almond
primary aroma,vegetable,almond,almond cream
primary aroma,vegetable,almond,almond kernel
primary aroma,vegetable,almond,almond paste
primary aroma,vegetable,almond,bitter almond
primary aroma,vegetable,almond,bitter almonds
primary aroma,vegetable,almond,candied almond
primary aroma,vegetable,almond,candied almonds
primary aroma,vegetable,almond,crushed almond
primary aroma,vegetable,almond,crushed almonds
primary aroma,vegetable,almond,green almond
primary aroma,vegetable,almond,green almonds
primary aroma,vegetable,almond,grilled almond
primary aroma,vegetable,almond,grilled almonds
primary aroma,vegetable,almond,roasted almond
primary aroma,vegetable,almond,roasted almonds
primary aroma,vegetable,almond,smoked almond
primary aroma,vegetable,almond,smoked almonds
primary aroma,vegetable,almond,toasted almond
primary aroma,vegetable,almond,toasted almonds
primary aroma,vegetable,almond,white almond
primary aroma,vegetable,almond,almonds
primary aroma,vegetable,almond,salted almonds
primary aroma,vegetable,almond,salted almond
primary aroma,spice,alpine herbs,alpine herb
primary aroma,spice,alpine herbs,alpine herbs
primary aroma,spice,anise,anise
primary aroma,spice,anise,anise spice
primary aroma,spice,anise,aniseed
primary aroma,spice,anise,dried anise
primary aroma,spice,anise,grilled anise
primary aroma,spice,anise,ground anise
primary aroma,spice,anise,smoky anise
primary aroma,spice,anise,spicy anise
primary aroma,spice,anise,star anise
primary aroma,tree fruit,apple,apple
primary aroma,tree fruit,apple,apple blossom
primary aroma,tree fruit,apple,apple blossoms
primary aroma,tree fruit,apple,apple crumble
primary aroma,tree fruit,apple,apple crumbles
primary aroma,tree fruit,apple,apple jam
primary aroma,tree fruit,apple,apple juice
primary aroma,tree fruit,apple,apple peel
primary aroma,tree fruit,apple,apple pie
primary aroma,tree fruit,apple,apple puree
primary aroma,tree fruit,apple,apple sauce
primary aroma,tree fruit,apple,apple skin
primary aroma,tree fruit,apple,apple tart
primary aroma,tree fruit,apple,apples
primary aroma,tree fruit,apple,applesauce
primary aroma,tree fruit,apple,baked apple
primary aroma,tree fruit,apple,baked apples
primary aroma,tree fruit,apple,baked apple pie
primary aroma,tree fruit,apple,bitter apple
primary aroma,tree fruit,apple,bitter apples
primary aroma,tree fruit,apple,browning apple
primary aroma,tree fruit,apple,bruised apple
primary aroma,tree fruit,apple,bruised apples
primary aroma,tree fruit,apple,buttered apple
primary aroma,tree fruit,apple,buttered apples
primary aroma,tree fruit,apple,candied apple
primary aroma,tree fruit,apple,candied apples
primary aroma,tree fruit,apple,caramel apple
primary aroma,tree fruit,apple,caramelized apple
primary aroma,tree fruit,apple,cooked apple
primary aroma,tree fruit,apple,cooked apples
primary aroma,tree fruit,apple,crab apple
primary aroma,tree fruit,apple,creamed apple
primary aroma,tree fruit,apple,creamed apples
primary aroma,tree fruit,apple,crushed apple
primary aroma,tree fruit,apple,crushed apples
primary aroma,tree fruit,apple,custard apple
primary aroma,tree fruit,apple,delicious apple
primary aroma,tree fruit,apple,delicious apples
primary aroma,tree fruit,apple,dried apple
primary aroma,tree fruit,apple,dried apples
primary aroma,tree fruit,apple,fresh apple
primary aroma,tree fruit,apple,fresh apples
primary aroma,tree fruit,apple,glazed apple
primary aroma,tree fruit,apple,glazed apples
primary aroma,tree fruit,apple,golden apple
primary aroma,tree fruit,apple,golden apples
primary aroma,tree fruit,apple,golden delicious apple
primary aroma,tree fruit,apple,golden delicious apples
primary aroma,tree fruit,apple,honeycrisp apple
primary aroma,tree fruit,apple,honeyed apple
primary aroma,tree fruit,apple,honeyed apples
