common_name,synonym
Abbuoto,abbuoto
Abbuoto,aboto
Abbuoto,cecubo
Abouriou,abouriou
Abouriou,early burgunder
Abouriou,early burgundy
Abouriou,gamay beaujolais
Abouriou,gamay du rhône
Abouriou,gamay st-laurent
Abouriou,malbec argente negret de la canourgue
Abouriou,noir hatif
Abouriou,plant abouriou
Abouriou,plant précoce
Abouriou,précoce naugé
Abouriou,précoce noir
Abouriou,pressac de bourgogne
Abrusco,abrostalo
Abrusco,abrostine
Abrusco,abrostino
Abrusco,abrusco
Abrusco,abrusco nero
Abrusco,abrusco nero di toscana
Abrusco,abrusio
Abrusco,colore
Abrusco,colorino
Acolon,acolon
Ada Karasi,ada karasi
Ada Karasi,adakarasi
Ada Karasi,adakarassy
Ada Karasi,avsa adasi
Ada Karasi,avsa island
Ada Karasi,balikesir
Ada Karasi,erdek
Ada Karasi,noir des iles
Adalmiina,adalmiina
Adalmiina,aldemina
Adalmiina,elmer swenson
Addoraca,addoraca
Addoraca,odoacra
Affenthaler,affenthaler
Affenthaler,affenthaler blauer
Affenthaler,affenthaler schwarzblau
Affenthaler,blauer affenthaler
Affenthaler,burgunder saeuerlich
Affenthaler,kleiner trollinger
Affenthaler,morillon aigret
Affenthaler,pineau aigret
Affenthaler,saeuerlicher burgunder
Affenthaler,schwarzblaue affenthaler
Affenthaler,trollinger klein
Agdam Gyzyl Uzumu,agdam gyzyl izyum
Agdam Gyzyl Uzumu,agdam qizil uezuemue
Agdam Gyzyl Uzumu,agdam's gyzyl uzumu
Agdam Gyzyl Uzumu,agdam gyzyl uzumu
Agh Shani,agh shani
Agiorgitiko,aghiorghitico
Agiorgitiko,aghiorghitiko
Agiorgitiko,agiorgitiko
Agiorgitiko,nemeas mavro
Agiorgitiko,nemeas mavroudi
Agiorgitiko,st.george
Aglianico,aglianco di puglia
Aglianico,aglianica
Aglianico,aglianichella
Aglianico,aglianichello
Aglianico,aglianico
Aglianico,aglianico amaro
Aglianico,aglianico crni
Aglianico,aglianico del vulture
Aglianico,aglianico di castellaneta
Aglianico,aglianico di taurasi
Aglianico,aglianico femminile
Aglianico,aglianico mascolino
Aglianico,aglianico pannarano
Aglianico,aglianico tringarulo
Aglianico,aglianico zerpoluso
Aglianico,aglianico zerpuloso
Aglianico,aglianicuccia
Aglianico,agliatica
Aglianico,agnanico
Aglianico,agnanico di castellaneta
Aglianico,alianiko
Aglianico,cascavoglia
Aglianico,cerasole
Aglianico,ellanico
Aglianico,ellenico
Aglianico,fiano rosso
Aglianico,fresella
Aglianico,gagliano
Aglianico,ghiandara
Aglianico,ghianna
Aglianico,ghiannara
Aglianico,glianica
Aglianico,gnanica
Aglianico,gnanico
Aglianico,granica
Aglianico,granico
Aglianico,olivella di san cosmo
Aglianico,prie blanc
Aglianico,spriema
Aglianico,tringarulo
Aglianico,uva catellaneta
Aglianico,uva di castellaneta
Aglianico,uva nera
Aglianico,aglianico nero
Aglianico,agliano
Aglianico,agliatico
Aglianico,ruopolo
Aglianico,uva dei cani
Aglianicone,aglianico bastardo
Aglianicone,aglianicone
Aglianicone,aglianicone nero
Aglianicone,glianicone
Aglianicone,ruopolo
Agni (grape) [cs],agni (grape) [cs]
Agronomica,agronomica
Agua Santa,agua santa
Aidani Mavro,aedano mavro
Aidani Mavro,aidani mavro
Aidani Mavro,aidani noir
Aidani Mavro,aidano mavro
Aidani Mavro,ithani mavro
Aidani Mavro,mavraidano
Aidani Mavro,mayraedano
Aidani Mavro,santorin
Aidini, aedani
Aidini, aidini 
Aidini,aedani
Aidini,aedano
Aidini,aidani
Aidini,aidani 
Aidini,aidano
Aidini,and lefko ithani
Aidini,aspedano
Aidini,aspraidano
Aidini,aspro
Aidini,asproaidani
Aidini,lafko aidani
Aidini,lefko
Aidini,leyko
Airén,aiden
Airén,airén
Airén,and valdepenero
Airén,blancon
Airén,forcallada
Airén,forcallat
Airén,forcallat blanca
Airén,forcallat blanco
Airén,forcayat
Airén,forcellat bianca
Airén,forcellat blanca
Airén,laeren del rey
Airén,lairen
Airén,layren
Airén,manchega
Airén,mantuo laeren
Airén,valdepenera blanca
Akhasheni,akhasheni
Akhasheni,akhashenuli
Aladasturi,aladastouri
Aladasturi,aladasturi
Aladasturi,anadassaouli
Aladasturi,anadassaouli femelle
Aladasturi,anadassaouli male
Aladasturi,anadastouri
Alarijen, alarijen
Alarijen,alarije 
Albalonga,albalonga
Albana,albana a grappo longo
Albana,albana a grappolo fitto
Albana,albana a grappolo lungo
Albana,albana a grappolo rado o gentile
Albana,albana dell'istria
Albana,albana della forcella
Albana,albana di bertinoro
